sample_id,label,n_events,n_nodes,n_edges,build_time_s,peak_memory_kb
0014d9642748e7c56a70f18e7a8de205201a1f0e6b4426603e35f8c359c553f1,Emotet,188,145,188,0.000296,
002126fbba172e396555d57d34903ac572c12c70a9f55c09cd85334306d91fb2,Emotet,237,177,237,0.000372,
002d9afe3841259010687de7eb0a26251a06d7dbfb4eb1dcc19cf0ff16c09bc8,Trickbot,8,8,8,0.000026,
00388a0a9517b26dfb243cb48821f75a5b91fcd719d7add228d6f70ef9eae1d9,Emotet,281,183,281,0.000456,
0045b11c3215a1e81a1c47d54bc7fbf8a6f2fb42a0c3dedf1232f4e41479d45e,Trickbot,81,67,81,0.000139,
0060c5615aa85c3b18ef1c7ed05f84ee6d1bc55a546cf05f96d11642fcdc5907,Emotet,1191,1004,1191,0.001895,
00726f1f382cde66efb37aca73db403c518ad48edf6499dd84272f571f6df80a,Trickbot,8,8,8,0.000018,
0083af88c4bc84014031d290d459be5c552f71809b38725233dbb02f4ff45555,Emotet,347,229,347,0.000529,
00ab6a9fd30e67bff88fdcbe7964fb5f1a7e6d0fbc4431fd727b4d79078c48f3,Trickbot,60,43,60,0.000098,
00b18078b09e5c0765fa42848399176f2500c5b02409044a2df6f77f00b453b2,Trickbot,9,9,9,0.000020,3
00b8d306a8328ed3bb0693ef756ea4d494af85c7af19be0d8d5306f32d20282c,Emotet,953,929,953,0.001791,
00bcbd81e5d525a580ca8bfa3678251445766b4270786ab6c95cedd630569d8f,Emotet,286,190,286,0.000425,
00bcffe09a7f219627d8e99b915f572e6ef699ff5b7c527f47c489426c4ddf64,Trickbot,3559,1934,3559,0.005990,
00cd1517d7f59f0c623e2dfcb620a7212aa3781f6a76ef1bd5ed0d8ee5b37b6c,Emotet,978,928,978,0.001607,
00efc5b4d4986c4f38d60df39c44db9d0ffddfcb2a27ed223e348d0b3cddcab7,Trickbot,8,8,8,0.000024,
00f4aaf773a6be2a0dfb8c29c977c69131c23c8315492846866f1908b668ab54,Emotet,37,24,37,0.000061,
0103e401f9e09a8ada7c5a53cd60d8300a74784a01ebb77a4d194cb2ea99dfdb,Emotet,262,196,262,0.000429,
010e155f285bef94240efeedccfc42c428dc9566c2714e37a0e8bef034c601d7,Trickbot,61,42,61,0.000093,
0160b041301d9f707b68e4f8d0b13a731686e32bac54b54481f9258794f3556e,Trickbot,8,8,8,0.000023,
0172a3e3ff1e40c2ee6032b9db6c85d00069566139571114260dda6aa180ab18,Trickbot,8,8,8,0.000020,2
01aa266f0d4cf450d4e890425c35bf9e147bda6bd952c803f9a260151cfa907e,Emotet,29,16,29,0.000061,
01c49cca5808cb38fd75fb01752979ae08cc8f47b021191caa4357d2f6d390a0,Trickbot,57,45,57,0.000109,
01c6194b4716230d6996e8be873ac4ad5c69f0d9249ea94a8e16059b803933a5,Emotet,952,923,952,0.001653,
